timestamp,route_id,vehicle_id,vehicle_name,latitude,longitude,ground_speed,heading,seconds_since_report,is_on_route,is_delayed
2025-11-24T17:50:05.578413+00:00,29,34,2302,33.77954,-84.38881,4.99955260815,162,13,True,False
2025-11-24T17:50:05.578413+00:00,20,17,2216,33.78059,-84.40494,0,0,17,True,False
2025-11-24T17:50:05.578413+00:00,17,15,2214,33.78636825,-84.40532109,0,0,13,True,False
2025-11-24T17:50:05.578413+00:00,22,1,2201,33.77315003,-84.39701207,0,0,13,True,False
2025-11-24T17:50:05.578413+00:00,21,4,2203,33.779631,-84.40274,4.99955260815,88,16,True,False
2025-11-24T17:50:05.578413+00:00,17,3,2202,33.78153,-84.3933397768,0,0,14,True,False
2025-11-24T17:50:05.578413+00:00,29,31,2306,33.7732,-84.3973,5.99946312978,175,14,True,False
2025-11-24T17:50:10.544506+00:00,26,8,2207,33.79166,-84.40684,21.00035789052,250,13,True,False
2025-11-24T17:50:10.544506+00:00,21,5,2204,33.77853,-84.40419,5.99946312978,356,17,True,False
2025-11-24T17:50:10.544506+00:00,21,13,2212,33.77273,-84.39721,7.99928417304,253,13,True,False
2025-11-24T17:50:10.544506+00:00,21,9,2208,33.77124,-84.39228,0,0,17,True,False
2025-11-24T17:50:10.544506+00:00,20,7,2206,33.77138,-84.39206,16.00080528237,10,15,True,False
2025-11-24T17:50:10.544506+00:00,20,12,2211,33.77623,-84.39207,0,0,16,True,False
2025-11-24T17:50:10.544506+00:00,28,10,2209,33.775274,-84.396138,0.99991052163,184,15,True,False
2025-11-24T17:50:10.544506+00:00,20,6,2205,33.77905,-84.40191,24.99999997704,319,17,True,False
2025-11-24T17:50:10.544506+00:00,18,35,2309,33.79737,-84.35451,8.99919469467,92,13,True,False
2025-11-24T17:50:10.544506+00:00,29,16,2215,33.77368,-84.40134,6.99937365141,95,15,True,False
2025-11-24T17:50:10.544506+00:00,28,14,2213,33.77552,-84.39506,17.000715804,57,17,True,False
2025-11-24T17:50:10.544506+00:00,28,40,2305,33.7808216228,-84.3864059203,0,0,16,True,False
2025-11-24T17:50:10.544506+00:00,29,33,2303,33.77831,-84.39784,14.00098423911,90,17,True,False
2025-11-24T17:50:10.544506+00:00,29,34,2302,33.7793,-84.38881,16.00080528237,175,13,True,False
2025-11-24T17:50:10.544506+00:00,20,17,2216,33.78059,-84.40494,0,0,12,True,False
2025-11-24T17:50:10.544506+00:00,17,15,2214,33.78636825,-84.40532109,0,0,13,True,False
2025-11-24T17:50:10.544506+00:00,22,1,2201,33.77315003,-84.39701207,0,0,13,True,False
2025-11-24T17:50:10.544506+00:00,21,4,2203,33.779631,-84.40274,2.99973156489,72,17,True,False
2025-11-24T17:50:10.544506+00:00,17,3,2202,33.78153,-84.3933397768,0,0,14,True,False
2025-11-24T17:50:10.544506+00:00,29,31,2306,33.77312,-84.39726,0.99991052163,146,14,True,False
2025-11-24T17:50:15.559708+00:00,26,8,2207,33.79149,-84.40733,0.99991052163,248,18,True,False
2025-11-24T17:50:15.559708+00:00,21,5,2204,33.77862,-84.4042,1.99982104326,350,17,True,False
2025-11-24T17:50:15.559708+00:00,21,13,2212,33.77295,-84.39741,14.00098423911,306,13,True,False
2025-11-24T17:50:15.559708+00:00,21,9,2208,33.77124,-84.39228,0,0,17,True,False
2025-11-24T17:50:15.559708+00:00,20,7,2206,33.77172,-84.39202,15.00089476074,356,15,True,False
2025-11-24T17:50:15.559708+00:00,20,12,2211,33.77623,-84.39207,0,170,15,True,False
2025-11-24T17:50:15.559708+00:00,28,10,2209,33.775274,-84.396138,0,0,15,True,False
2025-11-24T17:50:15.559708+00:00,20,6,2205,33.77945,-84.40227,23.00017893378,322,17,True,False
2025-11-24T17:50:15.559708+00:00,18,35,2309,33.79735,-84.35442,4.99955260815,122,13,True,False
2025-11-24T17:50:15.559708+00:00,29,16,2215,33.77366,-84.40123,10.99901573793,97,15,True,False
2025-11-24T17:50:15.559708+00:00,28,14,2213,33.7757,-84.39471,16.00080528237,62,17,True,False
2025-11-24T17:50:15.559708+00:00,28,40,2305,33.7808216228,-84.3864059203,0,0,16,True,False
2025-11-24T17:50:15.559708+00:00,29,33,2303,33.7783,-84.39754,9.9991052163,93,17,True,False
2025-11-24T17:50:15.559708+00:00,29,34,2302,33.77863,-84.38881,16.00080528237,181,18,True,False
2025-11-24T17:50:15.559708+00:00,20,17,2216,33.78059,-84.40494,0,0,17,True,False
2025-11-24T17:50:15.559708+00:00,17,15,2214,33.78636825,-84.40532109,0,0,13,True,False
2025-11-24T17:50:15.559708+00:00,22,1,2201,33.77315003,-84.39701207,0,0,13,True,False
2025-11-24T17:50:15.559708+00:00,21,4,2203,33.779631,-84.40274,0.99991052163,87,15,True,False
2025-11-24T17:50:15.559708+00:00,17,3,2202,33.78153,-84.3933397768,0,0,14,True,False
2025-11-24T17:50:15.559708+00:00,29,31,2306,33.77307,-84.39723,5.99946312978,137,14,True,False
2025-11-24T17:50:20.556615+00:00,26,8,2207,33.79149,-84.40736,0,0,17,True,False
2025-11-24T17:50:20.556615+00:00,21,5,2204,33.77869,-84.40428,5.99946312978,295,16,True,False
2025-11-24T17:50:20.556615+00:00,21,13,2212,33.77309,-84.39771,14.00098423911,293,12,True,False
2025-11-24T17:50:20.556615+00:00,21,9,2208,33.77124,-84.39228,0,0,16,True,False
2025-11-24T17:50:20.556615+00:00,20,7,2206,33.771857,-84.39192,0,0,14,True,False
2025-11-24T17:50:20.556615+00:00,20,12,2211,33.77599,-84.39201,18.00062632563,174,15,True,False
2025-11-24T17:50:20.556615+00:00,28,10,2209,33.775274,-84.396138,0,0,14,True,False
2025-11-24T17:50:20.556615+00:00,20,6,2205,33.77971,-84.402416,9.9991052163,323,16,True,False
2025-11-24T17:50:20.556615+00:00,18,35,2309,33.79737,-84.35409,20.00044736889,87,12,True,False
2025-11-24T17:50:20.556615+00:00,29,16,2215,33.77362,-84.40094,13.00107371748,102,14,True,False
2025-11-24T17:50:20.556615+00:00,28,14,2213,33.7758,-84.39441,9.9991052163,76,16,True,False
2025-11-24T17:50:20.556615+00:00,28,40,2305,33.7808216228,-84.3864059203,0,0,15,True,False
2025-11-24T17:50:20.556615+00:00,29,33,2303,33.778179,-84.397328,0.99991052163,100,16,True,False
2025-11-24T17:50:20.556615+00:00,29,34,2302,33.77836,-84.38884,9.9991052163,212,17,True,False
2025-11-24T17:50:20.556615+00:00,20,17,2216,33.78059,-84.40494,0,0,16,True,False
2025-11-24T17:50:20.556615+00:00,17,15,2214,33.78636825,-84.40532109,0,0,12,True,False
2025-11-24T17:50:20.556615+00:00,22,1,2201,33.77315003,-84.39701207,0,0,12,True,False
2025-11-24T17:50:20.556615+00:00,21,4,2203,33.77971,-84.402416,4.99955260815,120,15,True,False
2025-11-24T17:50:20.556615+00:00,17,3,2202,33.78153,-84.3933397768,0,0,13,True,False
2025-11-24T17:50:20.556615+00:00,29,31,2306,33.773,-84.39713,3.99964208652,127,13,True,False
2025-11-24T17:50:26.030797+00:00,26,8,2207,33.79148,-84.40737,0,0,17,True,False
2025-11-24T17:50:26.030797+00:00,21,5,2204,33.77867,-84.40448,11.99892625956,270,16,True,False
2025-11-24T17:50:26.030797+00:00,21,13,2212,33.77323,-84.39827,1.99982104326,279,17,True,False
2025-11-24T17:50:26.030797+00:00,21,9,2208,33.77124,-84.39228,0,0,16,True,False
2025-11-24T17:50:26.030797+00:00,20,7,2206,33.771857,-84.39192,0,0,14,True,False
2025-11-24T17:50:26.030797+00:00,20,12,2211,33.7756,-84.39199,18.00062632563,181,15,True,False
2025-11-24T17:50:26.030797+00:00,28,10,2209,33.775274,-84.396138,0,0,14,True,False
2025-11-24T17:50:26.030797+00:00,20,6,2205,33.77971,-84.402416,0,0,16,True,False
2025-11-24T17:50:26.030797+00:00,18,35,2309,33.79747,-84.35296,23.00017893378,91,17,True,False
2025-11-24T17:50:26.030797+00:00,29,16,2215,33.77357,-84.40051,20.00044736889,103,14,True,False
2025-11-24T17:50:26.030797+00:00,28,14,2213,33.77581,-84.39434,0.99991052163,74,16,True,False
